system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00056] PathFindOnPath found: C:\Windows\system32\d3d9.dll
display  I           wgl_disp.c:245  display_pixel_format             [   0.17639] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17641] Swap method: copy
display  I           wgl_disp.c:250  display_pixel_format             [   0.17643] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17644] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17646] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.17648] Samples: 0
display  D   display_settings.c:486  _al_score_display_settings       [   0.17649] Score is : 1987
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17651] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17653] Decoding visual no. 17...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17661] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17664] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17666] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17667] Swap method: copy
display  I           wgl_disp.c:250  display_pixel_format             [   0.17669] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17671] Depth buffer: 0 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17672] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.17674] Samples: 0
display  D   display_settings.c:486  _al_score_display_settings       [   0.17676] Score is : 2049
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17677] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17679] Decoding visual no. 18...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17686] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17689] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17690] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17692] Swap method: copy
display  I           wgl_disp.c:250  display_pixel_format             [   0.17694] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17696] Depth buffer: 0 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17698] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.17699] Samples: 0
display  D   display_settings.c:486  _al_score_display_settings       [   0.17701] Score is : 2049
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17703] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17704] Decoding visual no. 19...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17713] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17715] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17717] Single-buffer: no
